teff,logg,M_H,en
3200,5.5,0.0,0.0
3200,5.5,0.0,0.2
3200,5.5,0.5,0.0
3200,6.0,-0.5,0.2
3200,6.0,0.0,0.0
3300,0.0,0.0,0.0
3300,0.5,0.0,0.0
3300,0.5,0.0,0.0
3300,1.0,0.0,0.0
3300,1.5,0.0,0.0
3300,2.0,-1.0,0.4
3300,2.0,0.0,0.0
3300,2.5,0.0,0.0
3300,3.0,-1.0,0.4
3300,3.0,-0.5,0.2
3300,3.0,0.0,0.0
3300,3.5,-0.5,0.2
3300,3.5,0.0,0.0
3300,4.0,-0.5,0.2
3300,4.0,0.0,0.0
3300,4.5,-2.5,0.4
3300,4.5,-2.0,0.4
3300,4.5,-1.5,0.4
3300,4.5,-1.0,0.4
3300,4.5,-0.5,0.2
3300,4.5,0.0,0.0
3300,4.5,0.5,0.0
3300,5.0,-2.5,0.4
3300,5.0,-2.0,0.4
3300,5.0,-1.5,0.4
3300,5.0,-1.0,0.4
3300,5.0,-0.5,0.2
3300,5.0,0.0,0.0
3300,5.0,0.0,0.2
3300,5.0,0.5,0.0
3300,5.5,-2.5,0.4
3300,5.5,-2.0,0.4
3300,5.5,-1.5,0.4
3300,5.5,-1.0,0.4
3300,5.5,-0.5,0.2
3300,5.5,0.0,0.0
3300,5.5,0.0,0.2
3300,5.5,0.5,0.0
3300,6.0,-0.5,0.2
3300,6.0,0.0,0.0
3400,0.0,0.0,0.0
3400,0.5,0.0,0.0
3400,0.5,0.0,0.0
3400,1.0,0.0,0.0
3400,1.5,0.0,0.0
3400,2.0,-1.0,0.4
3400,2.0,0.0,0.0
3400,2.5,-1.0,0.4
3400,2.5,0.0,0.0
3400,3.0,-1.0,0.4
3400,3.0,-0.5,0.2
3400,3.0,0.0,0.0
3400,3.5,-0.5,0.2
3400,3.5,0.0,0.0
3400,4.0,-0.5,0.2
3400,4.0,0.0,0.0
3400,4.5,-2.5,0.4
3400,4.5,-2.0,0.4
3400,4.5,-1.5,0.4
3400,4.5,-1.0,0.4
3400,4.5,-0.5,0.2
3400,4.5,0.0,0.0
3400,4.5,0.5,0.0
3400,5.0,-2.5,0.4
3400,5.0,-2.0,0.4
3400,5.0,-1.5,0.4
3400,5.0,-1.0,0.4
3400,5.0,-0.5,0.2
3400,5.0,0.0,0.0
3400,5.0,0.0,0.2
3400,5.0,0.5,0.0
3400,5.5,-2.5,0.4
3400,5.5,-2.0,0.4
3400,5.5,-1.5,0.4
3400,5.5,-1.0,0.4
3400,5.5,-0.5,0.2
3400,5.5,0.0,0.0
3400,5.5,0.0,0.2
3400,5.5,0.5,0.0
3400,6.0,-1.0,0.4
3400,6.0,-0.5,0.2
3400,6.0,0.0,0.0
3500,0.0,0.0,0.0
3500,0.5,0.0,0.0
3500,0.5,0.0,0.0
3500,1.0,0.0,0.0
3500,1.5,0.0,0.0
3500,2.0,-1.0,0.4
3500,2.0,0.0,0.0
3500,2.5,-1.0,0.4
3500,2.5,0.0,0.0
3500,3.0,-1.0,0.4
3500,3.0,-0.5,0.2
3500,3.0,0.0,0.0
3500,3.5,-0.5,0.2
3500,3.5,0.0,0.0
3500,4.0,-0.5,0.2
3500,4.0,0.0,0.0
3500,4.5,-2.5,0.4
3500,4.5,-2.0,0.4
3500,4.5,-1.5,0.4
3500,4.5,-1.0,0.4
3500,4.5,-0.5,0.2
3500,4.5,0.0,0.0
3500,4.5,0.5,0.0
3500,5.0,-2.5,0.4
3500,5.0,-2.0,0.4
3500,5.0,-1.5,0.4
3500,5.0,-1.0,0.4
3500,5.0,-0.5,0.2
3500,5.0,0.0,0.0
3500,5.0,0.0,0.2
3500,5.0,0.5,0.0
3500,5.5,-2.5,0.4
3500,5.5,-2.0,0.4
3500,5.5,-1.5,0.4
3500,5.5,-1.0,0.4
3500,5.5,-0.5,0.2
3500,5.5,0.0,0.0
3500,5.5,0.0,0.2
3500,5.5,0.5,0.0
3500,6.0,-0.5,0.2
3500,6.0,0.0,0.0
3600,0.0,0.0,0.0
3600,0.5,0.0,0.0
3600,0.5,0.0,0.0
3600,1.0,0.0,0.0
3600,1.5,0.0,0.0
3600,2.0,-1.0,0.4
3600,2.0,0.0,0.0
3600,2.5,0.0,0.0
3600,3.0,-1.0,0.4
3600,3.0,-0.5,0.2
3600,3.0,0.0,0.0
3600,3.5,-0.5,0.2
3600,3.5,0.0,0.0
3600,4.0,-0.5,0.2
3600,4.0,0.0,0.0
3600,4.5,-2.5,0.4
3600,4.5,-2.0,0.4
3600,4.5,-1.5,0.4
3600,4.5,-1.0,0.4
3600,4.5,-0.5,0.2
3600,4.5,0.0,0.0
3600,4.5,0.5,0.0
3600,5.0,-2.5,0.4
3600,5.0,-2.0,0.4
3600,5.0,-1.5,0.4
3600,5.0,-1.0,0.4
3600,5.0,-0.5,0.2
3600,5.0,0.0,0.0
3600,5.0,0.0,0.2
3600,5.0,0.5,0.0
3600,5.5,-2.5,0.4
3600,5.5,-2.0,0.4
3600,5.5,-1.5,0.4
3600,5.5,-1.0,0.4
3600,5.5,-0.5,0.2
3600,5.5,0.0,0.0
3600,5.5,0.0,0.2
3600,5.5,0.5,0.0
3600,6.0,-0.5,0.2
3600,6.0,0.0,0.0
