teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
400,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
400,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
400,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
400,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
400,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
400,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
400,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
400,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
400,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
400,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
400,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
400,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
400,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
425,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
425,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
425,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
425,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
425,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
425,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
425,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
425,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
425,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
425,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
425,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
425,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
425,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
425,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
425,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
425,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
425,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
425,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
425,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
425,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
425,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
450,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
450,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
450,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
450,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
450,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
450,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
450,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
450,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
450,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
450,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
450,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
450,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
450,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
450,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
450,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
450,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
450,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
450,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
450,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
450,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
450,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
475,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
475,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
475,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
475,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
475,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
475,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
475,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
475,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
475,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
475,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
475,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
475,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
475,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
475,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
475,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
475,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
475,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
475,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
475,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
475,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
475,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
500,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
500,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
500,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
500,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
